Company Name,Acct #,Dialed,L14 Dials,LTO,TZ,City,State,PWC,MOR,Days,Last Note,Campaign,Facebook,"Name (Last, First)",YELP,Google Advertiser,Association,Websites,Craigslist,Thumbtack,YellowPages,Better Business Bureau,Nextdoor,Houzz,High Needs,Pro Name,Pro Count,Con Name,Con Count,Bad Name,Bad Count,Local Count,Score,Score2,Combo
Sears Parts Repair Center,126307852,N,0, - ,,,,Additions and Remodels,T,0,5/17/2022,,N,http://www.searspartsdirect.com/part-repair-stores/san-jose-california-95112-parts-repair-store.html,N,N,N,N,N,N,N,N,N,N,N,1,2,3,3,1,0,0,-16,-16,-32
One Stop TV,126308131,N,0, - ,,,,Audio/Visual,T,0,5/17/2022,,N,http://www.one-stop-tv.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,1,0,0,-15,-15,-30
Ride TV,126308334,N,0, - ,CST,"2001 Beach St Ste 201, Fort Worth, TX, 76103",TX,Audio/Visual,T,0,5/17/2022,,N,https://ridetv.com/contact-us,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,1,0,0,-15,-15,-30
Stephanie Wells Avon Independant Sales Represenative,126307972,N,0, - ,EST,"547 Church St, Cincinnati, OH, 45217",OH,Water Treatment System,T,0,5/17/2022,,N,http://www.youravon.com/swells9183,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,1,0,0,-14,-14,-28
South Texas Welding Supply,126308367,N,0, - ,CST,"1807 N Closner Blvd, Edinburg, TX, 78541",TX,Welder,T,0,5/17/2022,,N,https://www.facebook.com/South-Tx-Welding-Supply-438759346933155/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,2,1,1,0,-14,-28,-42
Crumpton Welding Supply,126307506,N,0, - ,EST,"1602 N 34th St, Tampa, FL, 33605",FL,Welder,T,0,5/17/2022,,N,https://www.crumptonws.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,1,0,0,-14,-14,-28
East Bay Welding Supply,126308557,N,0, - ,PST,"5000 Blum Rd, Martinez, CA, 94553",CA,Welder,T,0,5/17/2022,,N,https://business.facebook.com/east-bay-welding-supply-166254726733907/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,1,0,0,-14,-13,-27
Superior Welding Supply Company,126308831,N,0, - ,CST,"4509 NE 14th St, Des Moines, IA, 50313",IA,Welder,T,0,5/17/2022,,N,http://supweld.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,1,0,0,-14,-14,-28
Advanced Welding Supply,126308121,N,0, - ,CST,"5035 S 27th St, Greenfield, WI, 53221",WI,Welder,T,0,5/17/2022,,N,http://advancedweldingsupply.com/charts.html,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,1,0,0,-14,-13,-27
The Rose Garden Early Childhood Center,126308302,N,0, - ,EST,"257 Lafayette Ave, Buffalo, NY, 14213",NY,Landscaping & Sprinklers,T,0,5/17/2022,,N,https://therosegarden.us/contact/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,1,0,0,-14,-14,-28
North County Welding Supply,126308823,N,0, - ,PST,"1561 S Mission Rd, Fallbrook, CA, 92028",CA,Welder,T,0,5/17/2022,,N,http://northcountyweldingsupply.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,1,0,0,-14,-13,-27
Larry s Welding Supply,126307322,N,0, - ,EST,"2230 E 9 Mile Rd, Warren, MI, 48091",MI,Welder,T,0,5/17/2022,,N,http://www.larrysweldingsupply.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,1,0,0,-14,-13,-27
Dressel Welding Supply,126308931,N,0, - ,EST,"121 Garrison Lane, Carlisle, PA, 17013",PA,Welder,T,0,5/17/2022,,N,http://www.airgas.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,1,0,0,-14,-14,-28
Bronx Welding Supply Company Inc,126307571,N,0, - ,EST,"3448 Rombouts Ave, Bronx, NY, 10475",NY,Welder,T,0,5/17/2022,,N,http://www.airweld.net/contact-us/locations,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,1,0,0,-14,-14,-28
McKinney Welding Supply Compressed Gases,126307570,N,0, - ,EST,"1145 Bronx River Ave, Bronx, NY, 10472",NY,Welder,T,0,5/17/2022,,N,http://www.mckinneynyc.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,1,0,0,-14,-14,-28
Ace Welding Supply,126307572,N,0, - ,EST,"8 Stevens St, Freeport, NY, 11520",NY,Welder,T,0,5/17/2022,,N,https://aceweldingsupply.net/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,1,0,0,-14,-13,-27
Stone Rebecca MD,126307712,N,0, - ,PST,"9041 Magnolia Ave, Riverside, CA, 92503",CA,Stone & Tile,T,0,5/17/2022,,N,http://www.aspenmedgroup.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,1,0,1,0,0,-12,-12,-24
Party City The Fountains at Farah,126308371,N,0, - ,MST,"8889 Gateway Boulevard West, El Paso, TX, 79925",TX,Fountain and Pond,T,0,5/17/2022,,N,https://stores.partycity.com/us/tx/elpaso/party-store-pc1147.html?extcmp=BPlisting_TX_PC1147_organic,N,N,N,N,N,N,N,N,N,N,N,1,0,0,2,1,0,1,-10,-14,-23
International Satellite Authorized Direct TV Dealer,126308438,N,0, - ,EST,"2555 Porter Lake Dr Ste 110, Sarasota, FL, 34240",FL,Audio/Visual,T,0,5/17/2022,,N,https://www.issinc.tv/,N,N,N,N,N,N,N,N,N,N,N,0,0,5,0,0,0,0,-10,-10,-20
Brook M Stone MSW LCSW,126307364,N,0, - ,PST,"1947 Divisadero St, San Francisco, CA, 94115",CA,Stone & Tile,T,0,5/17/2022,,N,http://www.brookmstone.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,0,0,1,0,0,-10,-10,-20
Red Apple Appliance Repair,126307271,N,0, - ,,,,Appliances,T,0,5/17/2022,,N,https://redappleappliancerepair.com/Braintree/,N,N,N,N,N,N,N,N,N,N,N,2,1,1,1,1,0,0,-9,-8,-17
Buffit Auto Spa PPF Ceramic Coating Window Tinting Tampa,126307508,N,0, - ,EST,"1100 N 50th St Ste 3C, Tampa, FL, 33619",FL,Doors & Windows,T,0,5/17/2022,,N,https://www.buffitautospa.com/contactus.html,N,N,N,N,N,N,N,N,N,N,N,4,0,4,1,1,0,0,-9,-11,-20
ORGANIC DRYER VENT CLEANING Nashville 37208,126308174,N,0, - ,PST,"Nashville, TN, 37208",CA,Cleaning Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,2,,0,,1,,,-7,,
Thermador Appliance Repair Zone,126307576,N,0, - ,EST,"217 Albemarle St, Baltimore, MD, 21202",MD,Appliances,T,0,5/17/2022,,N,https://thermadorappliancerepairzone.com/Hampton/,N,N,N,N,N,N,N,N,N,N,N,2,1,0,0,1,0,0,-7,-4,-11
ORGANIC DRYER VENT CLEANING Nashville 37206,126308175,N,0, - ,PST,"Nashville, TN, 37206",CA,Cleaning Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,2,,0,,1,,,-7,,
ORGANIC DRYER VENT CLEANING Campbell 43215,126308015,N,0, - ,,,,Cleaning Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,2,,0,,1,,,-7,,
ORGANIC DRYER VENT CLEANING Nashville 37201,126308172,N,0, - ,PST,"Nashville, TN, 37201",CA,Cleaning Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,2,,0,,1,,,-7,,
ORGANIC DRYER VENT CLEANING Los Gatos 95032,126307835,N,0, - ,PST,"Los Gatos, CA, 95032",NV,Cleaning Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,2,,0,,1,,,-7,,
ORGANIC DRYER VENT CLEANING Nashville 37212,126308176,N,0, - ,MST,"Nashville, TN, 37212",UT,Cleaning Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,2,,0,,1,,,-7,,
Viking Appliance Repair Pros,126307574,N,0, - ,EST,"218 E Preston St, Baltimore, MD, 21202",MD,Appliances,T,0,5/17/2022,,N,https://viking-appliancerepair-pros.com/Derwood,N,N,N,N,N,N,N,N,N,N,N,2,1,0,0,1,0,0,-7,-4,-11
Automobile Antenna Repair Service,126275618,N,0, - ,CST,"2117 Austin Dr, Carrollton, TX, 75006",TX,Additions and Remodels,T,0,5/16/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,3,,1,,1,,,-6,,
Milestones Child Development Center,126307781,N,0, - ,PST,"1411 O St, Sacramento, CA, 95814",CA,Stone & Tile,T,0,5/17/2022,,N,http://www.milestonescdc.net/,N,N,N,N,N,N,N,N,N,N,N,0,0,2,0,0,0,0,-4,-4,-8
Satellite Industry Association,126307239,N,0, - ,EST,"1200 18th St NW, Washington, DC, 20036",DC,Cleaning Services,T,0,5/17/2022,,N,https://sia.org/,N,N,N,N,N,N,N,N,N,N,N,0,0,2,1,0,0,0,-4,-6,-10
Billy Heroman s Flowers Gifts Plantscaping,126308653,N,0, - ,CST,"1946 Perkins Rd, Baton Rouge, LA, 70808",LA,Landscaping & Sprinklers,T,0,5/17/2022,,N,https://www.billyheromans.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,2,0,0,0,0,-4,-4,-8
Praxair Welding Gas and Supply Store,126307445,N,0, - ,PST,"10728 Prospect Ave-Ste A, Santee, CA, 92071",CA,Welder,T,0,5/17/2022,,N,http://praxairusa.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,3,0,0,0,0,-3,-3,-6
Unique Auto Window Tint Body Shop,126308051,N,0, - ,EST,"6401 N Tryon St, Charlotte, NC, 28213",NC,Doors & Windows,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,3,,0,,,-3,,
A E Auto Boat Upholstery,126308888,N,0, - ,EST,"1668 N Harbor City, Melbourne, FL, 32935",FL,Furniture Repair & Refinish,T,0,5/17/2022,,N,https://www.aeautoupholstery.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,3,1,0,2,0,-3,-28,-31
Fitzner John Canvas Auto Upholstery,126308760,N,0, - ,EST,"1064 Curry Rd, Schenectady, NY, 12306",NY,Furniture Repair & Refinish,T,0,5/17/2022,,N,https://fr.yelp.ca/biz/fitzner-john-canvas-and-auto-upholstery-schenectady,N,N,N,N,N,N,N,N,N,N,N,1,1,3,3,0,0,0,-3,-6,-9
Linde Welding Gas Equipment Center,126308050,N,0, - ,EST,"4236 Statesville Road, Charlotte, NC, 28269",NC,Welder,T,0,5/17/2022,,N,https://www.lindedirect.com/stores/North%20Carolina/charlotte-70619,N,N,N,N,N,N,N,N,N,N,N,1,0,3,1,0,0,0,-3,-5,-8
Wholesale Computer Supply,126308487,N,0, - ,CST,"3974 S Hudson Ave, Tulsa, OK, 74135",OK,Audio/Visual,T,0,5/17/2022,,N,https://www.wholesalecomputersupply.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,3,2,0,0,0,-3,-7,-10
Praxair Welding Gas and Supply Store,126275535,N,0, - ,PST,"5508 Vineland Ave, North Hollywood, CA, 91601",CA,Welder,T,0,5/16/2022,,N,http://www.praxairwelding.com/locations/california/north-hollywood,N,N,N,N,N,N,N,N,N,N,N,1,1,3,0,0,0,0,-3,0,-3
Global Transportation Engineering,126307740,N,0, - ,PST,"227 SW Pine St Ste 220, Portland, OR, 97204",OR,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://www.globaltranseng.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,3,1,0,0,0,-3,-5,-8
Express Upholstery Supply,126307872,N,0, - ,EST,"1271 La Quinta Dr, Orlando, FL, 32809",FL,Furniture Repair & Refinish,T,0,5/17/2022,,N,http://expressupholsterysupply.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,3,2,0,0,0,-3,-4,-7
MH Industries Ltd,126307316,N,0, - ,EST,"8101 Lyndon St, Detroit, MI, 48238",MI,Cleaning Services,T,0,5/17/2022,,N,http://mhind.com/contactus.php,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,-2,-2,-4
Industrial Wire Company Inc,126307891,N,0, - ,EST,"2805 Superior Ave E, Cleveland, OH, 44114",OH,Cleaning Services,T,0,5/17/2022,,N,http://www.ind-wire.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,-2,-2,-4
North Coast Cultured Products Inc,126307901,N,0, - ,EST,"580 Mayer St, Bridgeville, PA, 15017",PA,HVAC,T,0,5/17/2022,,N,https://northcoastmarble.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,-2,-2,-4
A O Smith Water Products Company,126307971,N,0, - ,EST,"PO Box 877, Florence, KY, 41022",KY,HVAC,T,0,5/17/2022,,N,http://www.hotwater.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,-2,-2,-4
Secure Parking Enforcement LLC,126307161,N,0, - ,EST,"235 Peachtree St, Atlanta, GA, 30303",GA,Concrete & Masonry,T,0,5/17/2022,,N,https://www.secureparkingenforcement.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,-2,-2,-4
Urban Indoor Storage,126308453,N,0, - ,EST,"804 E Monument Ave, Dayton, OH, 45402",OH,Doors & Windows,T,0,5/17/2022,,N,https://www.urbanindoorstorage.com/804-e-monument-avenue-dayton-oh-45402,N,N,N,N,N,N,N,N,N,N,N,0,1,1,1,0,0,0,-2,-1,-3
SLATE STONE CATERING,126307471,N,0, - ,CST,"2600 Park Avenue, Minneapolis, MN, 55407",MN,Stone & Tile,T,0,5/17/2022,,N,https://slateandstonecatering.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,1,0,0,0,-2,-4,-6
ADM Enforcement Inc,126307986,N,0, - ,EST,"55 S State Ave, Indianapolis, IN, 46201",IN,Concrete & Masonry,T,0,5/17/2022,,N,http://admenforcement.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,-2,-2,-4
Newco Metal Product Inc,126307266,N,0, - ,,,,HVAC,T,0,5/17/2022,,N,http://www.newcommetal.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,-2,-2,-4
Asa Pechin Realtor JPAR Leading Edge,126308917,N,0, - ,CST,"624 E Douglas Ave, Wichita, KS, 67202",KS,Testing & Abatement Services,T,0,5/17/2022,,N,https://asapechin.jparleadingedge.com/,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,-2,-2,-4
