0,,,
&.[sS]pirits,12,(i?)[^a-zA-Z]&.[sS]pirits,(i?)[^a-zA-Z]&.[sS]pirits[^a-zA-Z]
&.[sS]uites,11,(i?)[^a-zA-Z]&.[sS]uites,(i?)[^a-zA-Z]&.[sS]uites[^a-zA-Z]
&.More.Inc,10,(i?)[^a-zA-Z]&.More.Inc,(i?)[^a-zA-Z]&.More.Inc[^a-zA-Z]
&.recreation,12,(i?)[^a-zA-Z]&.recreation,(i?)[^a-zA-Z]&.recreation[^a-zA-Z]
(?i)AGENCY,10,(i?)[^a-zA-Z](?i)AGENCY,(i?)[^a-zA-Z](?i)AGENCY[^a-zA-Z]
(?i)ATVs,8,(i?)[^a-zA-Z](?i)ATVs,(i?)[^a-zA-Z](?i)ATVs[^a-zA-Z]
(?i)Bogot,9,(i?)[^a-zA-Z](?i)Bogot,(i?)[^a-zA-Z](?i)Bogot[^a-zA-Z]
(?i)[^a-zA-Z]Botox[^a-zA-Z],27,(i?)[^a-zA-Z](?i)[^a-zA-Z]Botox[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]Botox[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]bvba[^a-zA-Z],26,(i?)[^a-zA-Z](?i)[^a-zA-Z]bvba[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]bvba[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]BYOB[^a-zA-Z],26,(i?)[^a-zA-Z](?i)[^a-zA-Z]BYOB[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]BYOB[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]CBD[^a-zA-Z],25,(i?)[^a-zA-Z](?i)[^a-zA-Z]CBD[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]CBD[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]cenex[^a-zA-Z],27,(i?)[^a-zA-Z](?i)[^a-zA-Z]cenex[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]cenex[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]CITGO[^a-zA-Z],27,(i?)[^a-zA-Z](?i)[^a-zA-Z]CITGO[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]CITGO[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]Dairy[^a-zA-Z],27,(i?)[^a-zA-Z](?i)[^a-zA-Z]Dairy[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]Dairy[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]DMV[^a-zA-Z],25,(i?)[^a-zA-Z](?i)[^a-zA-Z]DMV[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]DMV[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]DVDs[^a-zA-Z],26,(i?)[^a-zA-Z](?i)[^a-zA-Z]DVDs[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]DVDs[^a-zA-Z][^a-zA-Z]
(?i)[^a-zA-Z]Etsy[^a-zA-Z],26,(i?)[^a-zA-Z](?i)[^a-zA-Z]Etsy[^a-zA-Z],(i?)[^a-zA-Z](?i)[^a-zA-Z]Etsy[^a-zA-Z][^a-zA-Z]
