Acct #,(Required),"Name (Last, First)",Dialed,L14 Dials,TZ,City,State,PWC,MOR,Days,Last Note
88273792,Mejia Services,"Duncanson, Lisa",N,0,EST,,FL,Handyman,O,0,01/31/2022
72708454,Atlas Power Washing,,N,0,EST,,NY,Cleaning Services,T,0,01/31/2022
72756267,Heavenly Services,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
72756312,XJT Services,,N,0,PST,,OR,Cleaning Services,T,0,01/31/2022
72756433,Mark's Specialty Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
72756434,Glover's Property Cleanup,,N,0,EST,,VA,Cleaning Services,T,0,01/31/2022
72756654,Flores Power Washing,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
72756831,Casse's House Services,,N,0,CST,,MO,Maid Service,T,0,01/31/2022
72757610,Easy Money Enterprise,,N,0,EST,,PA,Handyman,T,0,01/31/2022
72757716,Crystal's Sparkle,,N,0,EST,,NJ,Cleaning Services,T,0,01/31/2022
72757721,Fatz Services,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
72758558,Janco Services,,N,0,EST,,CT,Maid Service,T,0,01/31/2022
72765287,ARCHITECTURAL AQUATICS AND CONTRACTING LLC,"Hogle, Scott",N,0,EST,ORLANDO,FL,Handyman,T,0,01/31/2022
72765581,FLAWLESS CONTRUCTION LLC,MORGAN PATTERSON,N,0,EST,GAINSVILLE,FL,Handyman,T,0,01/31/2022
72765631,HW CONTRACTING LLC DBA HW CONTRACTING,CALEB AUSTIN,N,0,EST,ST AUGUSTINE,FL,Handyman,T,0,01/31/2022
72765721,NORTHWAYS CONTRACTING INC,SANDRA,N,0,EST,ST. AUGUSTINE,FL,Handyman,T,0,01/31/2022
72765911,STEHL HOME IMPROVEMENTS INC,MARTIN,N,0,EST,PONTE VEDRA BEACH,FL,Handyman,T,0,01/31/2022
72766330,RAFAEL A POWER LLC,RAFAEL A,N,0,EST,ST AUGUSTINE,FL,Cleaning Services,T,0,01/31/2022
72766360,"ALL WEATHER CONTRACTORS, INC",PATRICK J,N,0,EST,JACKSONVILLE,FL,Handyman,T,0,01/31/2022
72767568,GREAT DANE PETROLEUM CONTRACTORS INC,EDWARD W,N,0,EST,POMPANO BEACH,FL,Handyman,T,0,01/31/2022
72767838,SHAW CONTRACTING INC,STEVEN C.,N,0,EST,JACKSONVILLE,FL,Handyman,T,0,01/31/2022
72816530,M&B Services,,N,0,EST,,PA,Maid Service,T,0,01/31/2022
72816714,Cynthia's Tutoring Services,,N,0,EST,,GA,Maid Service,T,0,01/31/2022
72816970,KS Services,,N,0,EST,,MD,Maid Service,T,0,01/31/2022
72817052,Esther Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
72817036,Raven's House Service,,N,0,EST,,NY,Maid Service,T,0,01/31/2022
72824630,Morgan's Services,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
72824892,Homekeepers,,N,0,EST,,OH,Maid Service,T,0,01/31/2022
72825067,Ladytdabomb Services,,N,0,MST,,AZ,Cleaning Services,T,0,01/31/2022
72825204,Ashby's Professional Services,,N,0,EST,,MA,Cleaning Services,T,0,01/31/2022
72825233,1quikwash mobile detailing & pressure washing,,N,0,EST,,GA,Cleaning Services,T,0,01/31/2022
72825250,XL Services,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
72825302,AvG Pristine Pressure Washing,,N,0,EST,,CT,Cleaning Services,T,0,01/31/2022
72825315,Eddie's Services,,N,0,EST,,IN,Cleaning Services,T,0,01/31/2022
72825397,JJ Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
72825453,B'Smoovv's Services,,N,0,EST,,OH,Cleaning Services,T,0,01/31/2022
72825452,Wanda's Power Washing,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
72825556,A.S.K. Services,,N,0,EST,,MI,Cleaning Services,T,0,01/31/2022
72831200,Renee Will Make Your Home Feel Like New,,N,0,CST,,MO,Cleaning Services,T,0,01/31/2022
72831295,Angela's Home Detail,,N,0,CST,,MS,Cleaning Services,T,0,01/31/2022
72831318,Absolute Cleanup,,N,0,CST,,IL,Cleaning Services,T,0,01/31/2022
72831342,Rashon Makes It Sparkle,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
72832680,Murphy's Services,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
72832819,A&J Services,,N,0,CST,,MS,Cleaning Services,T,0,01/31/2022
72832855,AgTec Services,,N,0,EST,,NC,Cleaning Services,T,0,01/31/2022
72832941,Most Services,,N,0,EST,,VA,Cleaning Services,T,0,01/31/2022
72834710,Redds Cleanout & Removal,,N,0,EST,Tiltonsville,OH,Cleaning Services,T,0,01/31/2022
72835477,SpareHandz,,N,0,CST,Houston,MS,Cleaning Services,T,0,01/31/2022
72839724,4A Enterprises,,N,0,EST,Pound,VA,Cleaning Services,T,0,01/31/2022
72841443,RCM Cleanout,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
72843434,Sparkles,,N,0,MST,Wickenburg,AZ,Cleaning Services,T,0,01/31/2022
72844326,Executive Services Group,"Dougherty, Jim",N,0,EST,,NJ,Cleaning Services,T,0,01/31/2022
72844612,Gypsy soul service,,N,0,CST,,TN,Maid Service,T,0,01/31/2022
72849301,(3) Sisters @ Your Service,,N,0,EST,,MI,Maid Service,T,0,01/31/2022
72874528,Eddie House Services,,N,0,CST,,MS,Maid Service,T,0,01/31/2022
72874639,The Royal Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
