Prospecting Data,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Company Name,Contact Name,,BusinessPhone,,,,Email,,,,,PWC,,,
(Required),First,Last,RequiredifnoEmail,Business Fax,Cell Phone,Website URL,(Required if no Business Phone),Address 1,Address 2,City,Zip,(ID or Description),Source,Comments,Filter Error
American Tree Maintenance Inc,79,houzz.com/professionals/tree-services/american-tree-maintenance-inc-pfvwus-pf~722367834,2056691925,2056691955,,houzz.com/professionals/tree-services/american-tree-maintenance-inc-pfvwus-pf~722367834,,6340 Chelsea Road,,Vancouver,35043,79,Tree Services,houzz.com/professionals/tree-services/american-tree-maintenance-inc-pfvwus-pf~722367834---American Tree Maintenance is a full service tree shrub and turf care company. We specialize in plant health care (turf care tree/shrub deep root treatment mauget tree injection etc) tree surgery removal and pruning and a variety of landscape services (installation lighting and irrigation services). ISA & State Certified Arborist (#WE0817A) on staff for consultation services.,
Villa Lagoon Tile,383,houzz.com/professionals/tile-and-stone/villa-lagoon-tile-pfvwus-pf~1795252610,2519683375,,,houzz.com/professionals/tile-and-stone/villa-lagoon-tile-pfvwus-pf~1795252610,,901 Commerce Drive Unit 1-C,,Vancouver,36542,74,Tile & Stone,houzz.com/professionals/tile-and-stone/villa-lagoon-tile-pfvwus-pf~1795252610---About Villa Lagoon Tile \r\n\r\nVilla Lagoon Tile designs produces and distributes the finest handmade cement tiles in the world. Based in Gulf Shores AL USA we sell retail and wholesale both in-stock and custom cement tiles with global delivery. VLT is a favorite choice of designers and architects.\r\n\r\nFor more information and photos visit our website at \u003ca rel=\nofollow noopener noreferrer\ target=\_blank\ href=\https://www.villalagoontile.com\>https://www.villalagoontile.com\u003c/a>,
Verona Marble And Tile,591,houzz.com/professionals/tile-and-stone/verona-marble-and-tile-pfvwus-pf~1325642752,3366699435,,,houzz.com/professionals/tile-and-stone/verona-marble-and-tile-pfvwus-pf~1325642752,,,,Vancouver,27410,8,Tile & Stone,houzz.com/professionals/tile-and-stone/verona-marble-and-tile-pfvwus-pf~1325642752---We specialize in design and installation of marble granite and tile for new construction and tearout / remodel jobs in the Triad.\r\nWe work with our customers to determine the least disruptive method to perform the remodel as we understand that we are living in your house while we are working.,
Unique Granite And Marble,33023,houzz.com/professionals/tile-and-stone/unique-granite-and-marble-pfvwus-pf~1737417728,2706855683,,,houzz.com/professionals/tile-and-stone/unique-granite-and-marble-pfvwus-pf~1737417728,,2601 Old Henderson Road,,Vancouver,42301,8,Tile & Stone,houzz.com/professionals/tile-and-stone/unique-granite-and-marble-pfvwus-pf~1737417728---Unique Granite specializes in custom countertops for your kitchen and bath. Unique Granite & Marble was founded on a commitment to providing outstanding service. That dedication to our customers’ needs continues today from providing the highest quality stone available anywhere in the world to making the process of selecting stone an enjoyable experience.\r\n\r\nWe also take great pride in combining the most advanced technology with a wide selection of stone types and varieties.\r\n \r\nWe have a full service fabrication facility and showroom in Owensboro. We also measure build and install our own tops using only the highest quality materials. We have over 800 granite slabs in stock at any given time and we have alternative slab viewing locations in Nashville TN; St Louis MO; Indianapolis IN; and Louisville KY.\r\n \r\nWe carry not only granite but also marble quartz limestone onyx and travertine. We carry most popular quartz lines including LG Viatera SileStone CaesarStone Zodiaq Hanstone,
Triton Stone Group Of Alabama,207,houzz.com/professionals/tile-and-stone/triton-stone-group-of-alabama-pfvwus-pf~1887486887,2055920202,2055920220,,houzz.com/professionals/tile-and-stone/triton-stone-group-of-alabama-pfvwus-pf~1887486887,,4500 Fifth Avenue South Building G,,Vancouver,35222,74,Tile & Stone,houzz.com/professionals/tile-and-stone/triton-stone-group-of-alabama-pfvwus-pf~1887486887---Birmingham's most extensive selection of natural stone slabs tile & plumbing fixtures.,
Tile Stone Design And Installation Co,79,houzz.com/professionals/tile-and-stone/tile-stone-design-and-installation-co-pfvwus-pf~847498710,9168497021,,,houzz.com/professionals/tile-and-stone/tile-stone-design-and-installation-co-pfvwus-pf~847498710,,,,Vancouver,95833,74,Tile & Stone,houzz.com/professionals/tile-and-stone/tile-stone-design-and-installation-co-pfvwus-pf~847498710---We offer the best tile and stone services in Sacramento CA. \r\nPlease contact us for all of your tile and stone needs!,
Tilescience Com,75,houzz.com/professionals/tile-and-stone/tilescience-com-pfvwus-pf~1225515195,3313339209,,,houzz.com/professionals/tile-and-stone/tilescience-com-pfvwus-pf~1225515195,,619 Western Ave Unit 2,,Vancouver,41011,74,Tile & Stone,houzz.com/professionals/tile-and-stone/tilescience-com-pfvwus-pf~1225515195---TileScience.com is the internet's premier destination for all things tile. Your source for everything from hard to find glass mosaic tile to the highest quality tile tools and installation materials.,
Stratus Marble And Granite,127,houzz.com/professionals/tile-and-stone/stratus-marble-and-granite-pfvwus-pf~1862312144,2319292848,,,houzz.com/professionals/tile-and-stone/stratus-marble-and-granite-pfvwus-pf~1862312144,,777 U.S. 31 South,,Vancouver,49685,8,Tile & Stone,houzz.com/professionals/tile-and-stone/stratus-marble-and-granite-pfvwus-pf~1862312144---Stratus Marble & Granite is an award-winning locally owned stone fabrication and installation shop headquartered in Traverse City serving homeowners architects designers and builders with new construction & remodel projects. Natural stone adds beauty elegance and value to homes and commercial settings alike. Kitchen bath hearth table tops and more become amazing with the many looks and textures available in granite and marble. Visit our extensive showroom and view full-size slabs on-site. It is our goal to make working with us convenient and your selection process simple. Our friendly knowledgeable design staff will facilitate your visit ensuring you end up with a finished look you absolutely love!,
Solidsurface Llc,95,houzz.com/professionals/tile-and-stone/solidsurface-llc-pfvwus-pf~595662174,6129902646,,,houzz.com/professionals/tile-and-stone/solidsurface-llc-pfvwus-pf~595662174,,,,Vancouver,55406,8,Tile & Stone,houzz.com/professionals/tile-and-stone/solidsurface-llc-pfvwus-pf~595662174---SolidSurface is a not just a tile installation company. With over 20 years of experience we know tile and we can help you plan your bathroom kitchen entry or whatever area that you may be installing tile in. We offer a design and layout service to help you decide on what your needs are and what will make your special room stand out from all others. We have experience in all types of renovations whether it's your early 1900's house in the city or that new dream home on the lake.  From glass mosaics in that new cooks kitchen to travertine in your spa like bathroom Solidsurface is here to bring your dreams to fruition.,
